date,open,high,low,close,volume,barCount,average
20201224  04:23:15,131.01,131.01,131.01,131.01,0,0,131.01
20201224  04:23:30,131.01,131.01,131.01,131.01,0,0,131.01
20201224  04:23:45,131.01,131.01,131.01,131.01,0,0,131.01
20201224  04:24:00,131.01,131.01,131.01,131.01,0,0,131.01
20201224  04:24:15,131.01,131.01,131.01,131.01,0,0,131.01
20201224  04:24:30,131.01,131.01,131.01,131.01,0,0,131.01
20201224  04:24:45,131.01,131.01,131.01,131.01,0,0,131.01
20201224  04:25:00,131.01,131.01,131.01,131.01,0,0,131.01
20201224  04:25:15,131.03,131.03,131.03,131.03,2,1,131.03
20201224  04:25:30,131.03,131.03,131.03,131.03,0,0,131.03
20201224  04:25:45,131.03,131.03,131.03,131.03,0,0,131.03
20201224  04:26:00,131.03,131.03,131.03,131.03,0,0,131.03
20201224  04:26:15,131.03,131.03,131.03,131.03,0,0,131.03
20201224  04:26:30,131.03,131.03,131.03,131.03,0,0,131.03
20201224  04:26:45,131.03,131.03,131.03,131.03,0,0,131.03
20201224  04:27:00,131.03,131.03,131.03,131.03,0,0,131.03
20201224  04:27:15,131.03,131.03,131.03,131.03,0,0,131.03
20201224  04:27:30,131.03,131.03,131.03,131.03,0,0,131.03
20201224  04:27:45,131.03,131.03,131.03,131.03,0,0,131.03
20201224  04:28:00,131.03,131.03,131.03,131.03,0,0,131.03
20201224  04:28:15,131.03,131.03,131.03,131.03,2,1,131.03
20201224  04:28:30,131.03,131.03,131.03,131.03,0,0,131.03
20201224  04:28:45,131.03,131.03,131.03,131.03,0,0,131.03
20201224  04:29:00,131.03,131.03,131.03,131.03,0,0,131.03
20201224  04:29:15,131.03,131.03,131.03,131.03,0,0,131.03
20201224  04:29:30,131.03,131.03,131.0,131.0,2,2,131.015
20201224  04:29:45,131.0,131.0,131.0,131.0,3,2,131.0
20201224  04:30:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:30:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:30:30,131.0,131.0,131.0,131.0,1,1,131.0
20201224  04:30:45,131.0,131.0,131.0,131.0,1,1,131.0
20201224  04:31:00,131.0,131.0,131.0,131.0,5,1,131.0
20201224  04:31:15,131.0,131.0,131.0,131.0,3,1,131.0
20201224  04:31:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:31:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:32:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:32:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:32:30,131.0,131.0,131.0,131.0,0,0,131.0
