date,open,high,low,close,volume,barCount,average
20201228  04:00:00,132.72,132.9,132.72,132.88,12,3,132.793
20201228  04:00:15,132.88,132.88,132.88,132.88,0,0,132.88
20201228  04:00:30,132.88,132.88,132.88,132.88,0,0,132.88
20201228  04:00:45,132.88,132.88,132.88,132.88,0,0,132.88
20201228  04:01:00,132.88,132.88,132.88,132.88,0,0,132.88
20201228  04:01:15,132.94,132.99,132.87,132.87,3,3,132.936
20201228  04:01:30,132.87,132.87,132.87,132.87,0,0,132.87
20201228  04:01:45,132.88,132.88,132.88,132.88,3,3,132.88
20201228  04:02:00,132.88,132.88,132.88,132.88,1,1,132.88
20201228  04:02:15,132.88,132.88,132.88,132.88,0,0,132.88
20201228  04:02:30,132.88,132.88,132.88,132.88,0,0,132.88
20201228  04:02:45,132.88,132.88,132.88,132.88,0,0,132.88
20201228  04:03:00,132.88,132.88,132.88,132.88,0,0,132.88
20201228  04:03:15,132.89,132.89,132.89,132.89,2,1,132.89
20201228  04:03:30,132.89,132.89,132.89,132.89,0,0,132.89
20201228  04:03:45,132.89,132.89,132.89,132.89,0,0,132.89
20201228  04:04:00,132.8,132.8,132.8,132.8,1,1,132.8
20201228  04:04:15,132.8,132.8,132.8,132.8,0,0,132.8
20201228  04:04:30,132.88,132.89,132.88,132.89,2,2,132.886
20201228  04:04:45,132.89,132.89,132.89,132.89,1,1,132.89
20201228  04:05:00,132.89,132.89,132.89,132.89,0,0,132.89
20201228  04:05:15,132.89,132.89,132.89,132.89,0,0,132.89
20201228  04:05:30,132.89,132.89,132.89,132.89,0,0,132.89
20201228  04:05:45,132.75,132.75,132.75,132.75,1,1,132.75
20201228  04:06:00,132.75,132.75,132.75,132.75,0,0,132.75
20201228  04:06:15,132.75,132.75,132.75,132.75,0,0,132.75
20201228  04:06:30,132.75,132.75,132.75,132.75,4,1,132.75
20201228  04:06:45,132.75,132.75,132.75,132.75,2,1,132.75
20201228  04:07:00,132.75,132.75,132.75,132.75,1,1,132.75
20201228  04:07:15,132.75,132.75,132.75,132.75,0,0,132.75
20201228  04:07:30,132.75,132.75,132.75,132.75,4,1,132.75
20201228  04:07:45,132.75,132.75,132.75,132.75,0,0,132.75
20201228  04:08:00,132.75,132.75,132.75,132.75,0,0,132.75
20201228  04:08:15,132.74,132.74,132.74,132.74,1,1,132.74
